,0,1,2,3
"[0, 1, 1, 0]",0.0,-0.009999999012613172,-0.009999997964114646,0.0
"[1, 1, 1, 0]",-0.009999999999999915,-0.009999999999999915,-0.009999999999999915,0.0
"[1, 1, 1, 1]",9.999984498949974,9.999984395621336,9.999984380287476,9.999984319150949
"[0, 1, 1, 1]",0.0,-0.009999999999999915,-0.009999999999999915,-0.009999999999999915
"[1, 0, 1, 1]",-0.009999999999999915,0.0,-0.009999999999999915,-0.009999999999999915
"[1, 0, 0, 0]",-0.009999609566976863,0.0,0.0,0.0
"[1, 0, 1, 0]",-0.009999998249019792,0.0,-0.009999998704799286,0.0
"[0, 0, 1, 1]",0.0,0.0,-0.009999999012613172,-0.009999998816811812
"[0, 0, 1, 0]",0.0,0.0,-0.009999380091498962,0.0
"[0, 0, 0, 0]",0.0,0.0,0.0,0.0
"[1, 0, 0, 1]",-0.00999999683185715,0.0,0.0,-0.00999999843228044
"[0, 1, 0, 1]",0.0,-0.009999997434666442,0.0,-0.009999997964114646
"[0, 1, 0, 0]",0.0,-0.009999118756795362,0.0,0.0
"[0, 0, 0, 1]",0.0,0.0,0.0,-0.00999921098924758
"[1, 1, 0, 1]",-0.009999999999999915,-0.009999999999999915,0.0,-0.009999999999999915
"[1, 1, 0, 0]",-0.00999999748571658,-0.009999998940646352,0.0,0.0
